Hari Ini Dua Gempa Guncang Kepulauan Talaud Sulawesi Utara,"BANDUNG - Kepulauan Talaud, Sulawesi Utara hari ini, Selasa (11/4) hingga pukul 20:00 dua kali diguncang gempa. Gempa pertama terjadi pada pukul 09:50:43 WIB dengan magintuda 5,2 SR dan gempa kedua terjadi pada pukul 18:22:46 WIB dengan magnitudo 5,0 SR. Kepala Badan Geologi, Kementerian Energi dan Sumber Daya Mineral, Ego Syahrial menghimbau agar masyarakat disekitar wilayah terdampak untuk tetap tenang dan mengikuti arahan serta informasi dari petugas BPBD setempat. Jangan terpancing oleh isu yang tidak bertanggung jawab mengenai gempabumi dan tsunami serta tetap waspada dengan kejadian gempabumi susulan, yang diperkirakan berkekuatan lebih kecil. ""Gempa bumi kembali terjadi di Kepulauan Talaud, Sulawesi Utara pada pukul pukul 18:22:46 WIB. Gempa ini merupakan gempa kedua setelah yang pertama terjadi pada pukul 09:50:43 WIB. Gempa pertama pusat gempa bumi terletak pada koordinat 5,73? LU dan 127,32? BT, dengan magnitudo 5,0 SR pada kedalaman 109 km, berjarak 199 km timur laut Kepulauan Talaud, Sulawesi Utara sedangkan gempa kedua pusat gempa bumi terletak pada koordinat 5,73? LU dan 127,32? BT, dengan magnitudo 5,0 SR pada kedalaman 109 km, berjarak 199 km timur laut Kepulauan Talaud, Sulawesi Utara,"" ujar Ego. Penyebab kedua gempa tersebut sama yakni berdasarkan posisi pusat gempa bumi dan kedalamannya, kejadian gempa bumi berasosiasi dengan aktivitas pada zona penunjaman (subduksi) lempeng Filipina ke bawah lempeng Eurasia di lokasi tersebut,lanjut Ego. Pusat kedua gempa bumi tersebut berada di perairan perbatasan wilayah Indonesia dan Filipina. Wilayah Indonesia yang berdekatan dengan pusat gempa bumi yaitu wilayah Kepulauan Talaud, khususnya Pulau Karakelong. Kondisi geologis Wilayah Kepulauan Talaud pada umumnya disusun oleh batuan Vulkanik berumur Kuarter sehingga guncangan gempa bumi akan terasa lebih kuat pada batuan Kuarter karena bersifat urai, lepas, tidak kompak dan memperkuat efek guncangan. Bagi masyarakat disekitar wilayah terdampak, Kepala Badan Geologi menghimbau untuk tetap tenang dan mengikuti arahan serta informasi dari petugas BPBD setempat. Jangan terpancing oleh isu yang tidak bertanggung jawab mengenai gempabumi dan tsunami dan tetap mewaspadai terjadinya gempa susulan yang energy diperkirakan berkekuatan lebih kecil. ""Gempa bumi ini tidak menyebabkan tsunami, karena energinya tidak cukup kuat untuk menyebabkan deformasi di bawah laut,""pungkas Ego. (SF)"
"Gempa Magnitudo 6,1 Guncang Kepulauan Talaud, Tak Berpotensi Tsunami","Jakarta, CNN Indonesia -- Gempa bumi berkekuatan magnitudo 6,1 mengguncang wilayah pantai timur Kepulauan Talaud, Sulawesi Utara, Selasa (26/9). Menurut catatan Badan Meteorologi, Klimatologi, dan Geofisika (BMKG), gempa tercatat pada pukul 08.39 WIB.
Episenter gempa terletak pada koordinat 4,60° Lintang Utara dan 127,41° Bujur Timur, atau tepatnya berlokasi di laut pada jarak 40 km arah Tenggara Pulau Karatung, Sulawesi Utara pada kedalaman 109 km.  BMKG menyatakan gempa bumi yang terjadi merupakan jenis gempa bumi menengah akibat adanya aktivitas subduksi lempeng Laut Filipina. Gempa tidak berpotensi tsunami. Gempa ini dirasakan di daerah Talaud dengan skala intensitas III-IV MMI, daerah Siau dengan skala intensitas III MMI, dan daerah Tahuna dengan skala intensitas II-III MMI. Hingga saat ini belum ada laporan dampak kerusakan yang ditimbulkan akibat gempa bumi tersebut."
"Gempa Terkini Magnitudo 6,3 Guncang Kepulauan Talaud Sulut, Dipicu Subduksi Lempeng","Gempa Magnitudo 6,3 mengguncang wilayah Pulau Karatung, tepatnya di pantai timur Kepulauan Talaud Sulut, Selasa (26/9/2023), pukul 08.39.47 WIB. Badan Meteorologi Klimatologi dan Geofisika (BMKG) menyebutkan, episenter gempa Kepulauan Talaud ini berada pada koordinat 4,60° LU ; 127,41° BT, atau tepatnya berlokasi di laut pada jarak 40 Km arah Tenggara Pulau Karatung, Sulawesi Utara pada kedalaman 109 km. Kepala Bidang Mitigasi Gempa dan Tsunami BMKG Daryono menyebutkan, gempa dengan memperhatikan lokasi episenter dan kedalaman hiposenternya, gempabumi yang terjadi merupakan jenis gempabumi menengah akibat adanya aktivitas subduksi lempeng. ""Hasil analisis mekanisme sumber menunjukkan bahwa gempabumi memiliki mekanisme pergerakan naik (thrust fault),"" katanya. Gempabumi ini dirasakan di daerah Talaud dengan skala intensitas III-IV MMI, daerah Siau dengan skala intensitas III MMI, daerah Tahuna dengan skala intensitas II-III MMI. Hingga saat ini belum ada laporan dampak kerusakan yang ditimbulkan akibat gempabumi tersebut. Hasil pemodelan menunjukkan bahwa gempa tidak berpotensi tsunami. ""Hingga pukul 08.55 WIB, hasil monitoring BMKG belum menunjukkan adanya aktivitas gempabumi susulan (aftershock),"" kata Daryono."
"BMKG Bocorkan Penyebab Gempa M 6,3 di Kepulauan Talaud","Badan Meteorologi, Klimatologi, dan Geofisika (BMKG) mengungkapkan gempa bumi yang mengguncang Kepulauan Talaud, Sulawesi Utara, Magnitudo (M) 6,3 pada Selasa (26/9) disebabkan aktivitas subduksi lempeng.
""Dengan memperhatikan lokasi episenter dan kedalaman hiposenternya, gempa bumi yang terjadi merupakan jenis gempa bumi menengah akibat adanya aktivitas subduksi lempeng,"" kata Kepala Pusat Gempa bumi dan Tsunami BMKG Daryono dalam keterangannya, Selasa (26/9). Ia menjelaskan berdasarkan analisis mekanisme sumber menunjukkan bahwa gempa ini memiliki mekanisme pergerakan naik atau thrust fault. Gempa terjadi pada pukul 08.39.47 WIB wilayah Pantai Timur Kepulauan Talaud, Sulawesi. Hasil analisis BMKG menunjukkan gempa memiliki parameter update M 6,1. Kemudian episenter gempa terletak pada koordinat 4,60° LU; 127,41° BT, atau tepatnya berlokasi di laut pada jarak 40 kilometer arah Tenggara Pulau Karatung, Sulawesi Utara pada kedalaman 109 kilometer. Hingga saat ini belum ada laporan dampak kerusakan yang ditimbulkan akibat gempa bumi tersebut. Hasil pemodelan BMKG menunjukkan bahwa gempa ini tidak berpotensi tsunami. ""Periksa dan pastikan bangunan tempat tinggal anda cukup tahan gempa, ataupun tidak ada kerusakan akibat getaran gempa yang membahayakan kestabilan bangunan sebelum anda kembali ke dalam rumah,"" kata Daryono. Sebelumnya, gempa M6,3 mengguncang pulau Karatung, Kepulauan Talaud pada Selasa (26/9) pukul 08.55 WIB. BMKG mengklaim gempa tak memicu tsunami."
"Gempa Bumi M 6,3 Guncang Talaud Sulut, Tak Berpotensi Tsunami","Gempa tektonik magnitudo 6,3 mengguncang wilayah Pantai Timur Kepulauan Talaud, Sulawesi Utara pada Selasa (26/9/2023) pukul 08.39.47 WIB. Hasil analisis Badan Meteorologi, Klimatologi, dan Geofisika (BMKG) menunjukkan gempa bumi ini memiliki parameter update dengan magnitud0 6,1. Episenter gempa bumi terletak pada koordinat 4,60° LU ; 127,41° BT, atau tepatnya berlokasi di laut pada jarak 40 kilometer arah tenggara Pulau Karatung, Sulawesi Utara pada kedalaman 109 kilometer. Kepala Pusat Gempabumi dan Tsunami BMKG Daryono menjelaskan, dengan memperhatikan lokasi episenter dan kedalaman hiposenternya, gempa bumi yang terjadi merupakan jenis gempabumi menengah akibat adanya aktivitas subduksi lempeng Laut Filipina. Hasil analisis mekanisme sumber menunjukkan bahwa gempabumi memiliki mekanisme pergerakan naik (thrust fault). Gempa bumi ini dirasakan di daerah Talaud dengan skala intensitas III-IV MMI  daerah Siau dengan skala intensitas III MMI, daerah Tahuna dengan skala intensitas II-III MMI ( Getaran dirasakan nyata dalam rumah.  ""Hingga saat ini belum ada laporan dampak kerusakan yang ditimbulkan akibat gempa bumi tersebut. Hasil pemodelan menunjukkan bahwa gempa bumi ini tidak berpotensi tsunami,"" ujar Darsono dalam keterangan tertulis yang diterima KOMPAS.com. Dia mengimbau masyarakat agar tetap tenang dan tidak terpengaruh oleh isu yang tidak dapat dipertanggungjawabkan kebenarannya. Masyarakat diminta menghindari bangunan yang retak atau rusak diakibatkan oleh gempa. ""Periksa dan pastikan bangunan tempat tinggal anda cukup tahan gempa, ataupun tidak ada kerusakan akibat getaran gempa yang membahayakan kestabilan bangunan sebelum anda kembali ke dalam rumah,"" kata Darsono."
"Gempa M 6,3 Guncang Kepulauan Talaud Pagi Ini Tak Berpotensi Tsunami, BMKG Wanti-wanti Ini","Hasil analisis BMKG, mekanisme sumber menunjukkan bahwa gempa bumi memiliki mekanisme pergerakan naik (thrust fault). ""Hasil pemodelan menunjukkan bahwa gempa bumi ini tidak berpotensi tsunami,"" kata Kepala Pusat Gempabumi dan Tsunami BMKG, Daryono di Jakarta Selasa, 26 September 2023. Dia menjabarkan, episenter gempa bumi terletak pada koordinat 4,60 lintang utara dan 127,41 bujur timur, atau tepatnya berlokasi di laut pada jarak 40 km arah tenggara Pulau Karatung, Sulawesi Utara pada kedalaman 109 km. ""Dengan memerhatikan lokasi episenter dan kedalaman hiposenternya, gempa bumi yang terjadi merupakan jenis gempa bumi menengah akibat adanya aktivitas subduksi lempeng,"" paparnya. Ia mengemukakan bahwa gempa yang terjadi pada pukul 08.39.47 WIB itu memiliki parameter update M6,1 dan dirasakan di daerah Talaud dengan skala intensitas III-IV MMI (modified mercally intensity), artinya pada siang hari dirasakan oleh orang banyak dalam rumah, di luar oleh beberapa orang, gerabah pecah, jendela/pintu berderik dan dinding berbunyi. Gempa juga terasa di daerah Siau dan Tahuna dengan skala intensitas III MMI (getaran dirasakan nyata dalam rumah, terasa getaran seakan-akan ada truk berlalu). ""Hingga saat ini belum ada laporan dampak kerusakan yang ditimbulkan akibat gempa bumi tersebut,"" kata Daryono. Ia menambahkan hingga pukul 08.55 WIB, hasil monitoring BMKG belum menunjukkan adanya aktivitas gempa bumi susulan (aftershock). Ia mengimbau kepada masyarakat agar menghindari dari bangunan yang retak atau rusak diakibatkan oleh gempa. ""Periksa dan pastikan bangunan tempat tinggal anda cukup tahan gempa, ataupun tidak ada kerusakan akibat getaran gempa yang membahayakan kestabilan bangunan sebelum anda kembali ke dalam rumah,"" tuturnya. Selain itu, ia juga mengimbau agar masyarakat tetap tenang dan tidak terpengaruh oleh isu yang tidak dapat dipertanggungjawabkan kebenarannya."
"Gempa-Bumi di KEPULAUAN-TALAUD, SULAWESI-UTARA, 16-09-2023","Informasi Awal Pusat Krisis Kesehatan terhadap bencana Gempa-Bumi yang terjadi di 18 kecamatan, yaitu Beo,Beo Selatan,Beo Utara,Damao,Essang,Essang Selatan,Gemeh,Kabaruan,Kalongan,Lirung,Melonguane,Melonguane Timur,Miangas,Moronge,Nanusa,Pulutan,Rainis,Salibabu, KEPULAUAN-TALAUD, SULAWESI-UTARA pada tanggal 16-09-2023. Sabtu (16/09/2023) pukul 17.04 WIB terjadi gempa bumi M 5.3 pada kedalaman 21 km dengan pusat gempa di laut 18 km Barat Daya Melonguane. Gempa dirasakan skala MMI : IV. Gempa tidak berpotensi tsunami. Dalam data awal yang diperoleh dari dinas kesehatan setempat berkoordinasi dengan beberapa dinas terkait maka jumlah korban yang dapat diinformasikan adalah sebanyak 0 Orang, terdiri dari 0 orang meninggal, 0 orang hilang, 0 Luka Berat/Rawat Inap , 0 Luka Ringan/Rawat Jalan dan 0 Orang pengungsi. "
"Gempa M 6,3 di Talaud Akibat Subduksi Lempeng Laut Filipina","Gempa bumi magnitudo (M) 6,3 terjadi di Pulau Karatung, Kepulauan Talaud, Sulawesi Utara (Sulut) pagi ini. Gempa tersebut akibat adanya aktivitas subduksi lempeng Laut Filipina. ""Dengan memperhatikan lokasi episenter dan kedalaman hiposenternya, gempabumi yang terjadi merupakan jenis gempabumi menengah akibat adanya aktivitas subduksi lempeng Laut Filipina,"" kata Kepala Pusat Gempabumi dan Tsunami BMKG, Daryono, Selasa (26/9/2023). ""Hasil analisis mekanisme sumber menunjukkan bahwa gempabumi memiliki mekanisme pergerakan naik (thrust fault),"" sambungnya. Diketahui gempa bermagnitudo M 6,1 terjadi pukul 08.39.47 WIB di wilayah Pantai Timur Kepulauan Talaud, Sulawesi Utara. Episenter gempabumi terletak pada koordinat 4,60° LU ; 127,41° BT, atau tepatnya berlokasi di laut pada jarak 40 Km arah Tenggara Pulau Karatung, Sulawesi Utara pada kedalaman 109 km. Gempabumi ini dirasakan di daerah Talaud dengan skala intensitas III-IV MMI (pada siang hari dirasakan oleh orang banyak dalam rumah, di luar oleh beberapa orang, gerabah pecah, jendela/pintu berderik dan dinding berbunyi). Sementara itu di daerah Siau gempa ini dirasakan dengan skala intensitas III MMI (Getaran dirasakan nyata dalam rumah. Terasa getaran seakan-akan ada truk berlalu ). Sedangkan di daerah Tahuna dirasakan dengan skala intensitas II-III MMI (getaran dirasakan nyata dalam rumah. Terasa getaran seakan-akan ada truk berlalu). Daryono menyebut hingga saat ini belum ada laporan dampak kerusakan yang ditimbulkan akibat gempabumi tersebut. Selain itu, gempa bukmi tersebut tidak berpotensi tsunami. Selanjutnya hingga pukul 08.55 WIB, hasil monitoring BMKG belum menunjukkan adanya aktivitas gempabumi susulan (aftershock)."
"Kepulauan Talaud, Sulut Diguncang Gempa M 6,3, BMKG Klarifikasi Isu Tsunami","Kembali terjadi gempa dengan magnitudo 6,3 yang terjadi pada Selasa 26 September 2023 di Kepulauan Talaud, Sulawesi Utara pada Selasa 26 September 2023. Badan Meteorologi, Klimatologi, dan Geofisika (BMKG) menyampaikan bahwa gempa ini dipicu oleh aktivitas penyesaran atau patahan dalam lempeng Laut Maluku. BMKG mengemukakan gempa yang terjadi pada pukul 08.39.47 WIB itu memiliki parameter update M6,1 dan dirasakan di daerah Talaud dengan skala intensitas III-IV MMI (modified mercally intensity). Episenter gempa bumi ini terletak pada koordinat 4,60 lintang utara dan 127,41 bujur timur, atau tepatnya berlokasi di laut pada jarak 40 km arah tenggara Pulau Karatung, Sulawesi Utara pada kedalaman 109 km. ""Hasil pemodelan menunjukkan bahwa gempa bumi ini tidak berpotensi tsunami,"" kata Daryono, Kepala Pusat Gempabumi dan Tsunami BMKG, di Jakarta Selasa. Gempa kali ini terasa sampai ke daerah Siau dan Tahuna dengan skala intensitas III MMI (getaran dirasakan nyata dalam rumah, terasa getaran seakan-akan ada truk berlalu). ""Hingga saat ini belum ada laporan dampak kerusakan yang ditimbulkan akibat gempa bumi tersebut,"" kata Daryono.Tak lupa Daryono juga mengimbau m masyarakat agar menghindar dari bangunan yang retak atau rusak diakibatkan oleh gempa. ""Periksa dan pastikan bangunan tempat tinggal anda cukup tahan gempa, ataupun tidak ada kerusakan akibat getaran gempa yang membahayakan kestabilan bangunan sebelum anda kembali ke dalam rumah,"" tuturnya. Selain itu, ia juga mengimbau agar masyarakat tetap tenang dan tidak terpengaruh oleh isu yang tidak dapat dipertanggungjawabkan kebenarannya."
"Gempa berkekuatan magnitudo 7,1 guncang Talaud, Sulawesi Utara, 'Gempanya kuat sekali'","Gempa berkekuatan magnitudo 7,1 yang berpusat di Laut Filipina dan berjarak sekitar 132km dari arah Timur Laut kota Melonguane, Kabupaten Kepulauan Talaud, Sulawesi Utara, terjadi pada Kamis (21/01), sekitar pukul 19.23 WIB. Walaupun dilaporkan tidak berpotensi tsunami, sejumlah warga yang tinggal di sejumlah wilayah terdekat, mengaku merasakan kekuatan gempa tersebut. ""Ada laporan kerusakan rumah warga (di kota Melonguane). Termonitor kerusakan di Desa Bantik, Kecamatan Beo,"" kata Kepala Badan Penanggulangan Bencana Daerah (BPBD) Talaud, Leichdar Dahlan, kepada BBC News Indonesia, Kamis malam. Menurutnya, sampai pukul 21.00 WIB, ""belum ada laporan korban jiwa."" Dihubungi secara terpisah, Kepala BPBD Sangihe, Rifo Pudihang, menyebutkan, kota Melonguane ""sempat mati lampu"", tapi sekitar pukul 21.00 WIB dilaporkan listrik kembali normal. Dilaporkan ada kerusakan lantai koridor RSUD Mala di Melonguane, namun ""tidak ada kerusakan parah"", kata Rifo, mengutip keterangan BPBD Sangihe. Gempa berkekuatan magnitudo 7,1 dilaporkan BMKG terjadi pukul 19.23 WIB di wilayah Laut Filipina. Hasil analisis BMKG menunjukkan episenter gempa terletak pada koordinat 4,94 LU dan 127,44 BT. Tepatnya pusat gempa berlokasi di laut pada jarak 132 km arah timur laut Kota Melonguane, Kabupaten Kepulauan Talaud, Sulawesi Utara pada kedalaman 119 km. Seorang warga di Kota Tahuna, Sangihe, Sulut, Shiaron Mahansang, mengaku ""gempanya kuat sekali, kuat sekali,"" katanya kepada BBC News Indonesia, Kamis malam. Menurut BMKG, guncangan gempa dirasakan sejumlah warga di daerah seperti Melonguane, Tahuna, Manado, Bitung. ""Getaran dirasakan nyata dalam rumah. Terasa getaran seakan akan truk berlalu,"" ungkap Kepala Pusat Gempabumi dan Tsunami BMKG, Bambang Setiyo Prayitno, dalam keterangan tertulisnya, Kamis malam. Beberapa warga di Ternate, Sofffi, dan Halmahera Tengah, juga merasakannya. ""Getaran dirasakan oleh beberapa orang, benda-benda ringan yang digantung bergoyang."" Dengan memperhatikan lokasi episenter dan kedalaman hiposenternya, menurut BMKG, gempa yang terjadi merupakan jenis gempa menengah, ""akibat adanya aktivitas subduksi lempeng Filipina."" ""Hasil analisis mekanisme sumber menunjukkan bahwa gempa bumi memiliki mekanisme pergerakan naik (thrust fault),"" kata Bambang. Bambang menambahkan, dari hasil pemodelan menunjukkan bahwa gempa bumi ini tidak berpotensi menimbulkan tsunami. Dia menambahkan, hasil monitoring BMKG ""belum menunjukkan adanya aktivitas gempa susulan."""
